Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
233,253.696929932,-148.270050049,11.769559860,299.962524414,-256.815948486,122.392211914,
234,253.556732178,-148.154327393,11.761492729,299.848663330,-256.732330322,122.331871033,
235,253.444656372,-148.064331055,11.747956276,299.740325928,-256.656433105,122.278289795,
236,253.350173950,-148.001876831,11.729606628,299.627563477,-256.589477539,122.240989685,
237,253.257629395,-147.960250854,11.716228485,299.550354004,-256.519348145,122.219535828,
238,253.179855347,-147.940460205,11.699569702,299.473236084,-256.454833984,122.211105347,
239,253.141632080,-147.932510376,11.683929443,299.378784180,-256.402709961,122.218017578,
240,253.099441528,-147.934982300,11.665194511,299.295898438,-256.350067139,122.243751526,
241,253.073059082,-147.939987183,11.650831223,299.216613770,-256.291687012,122.283248901,
242,253.040054321,-147.954833984,11.639293671,299.124877930,-256.229644775,122.333549500,
243,253.032699585,-147.990432739,11.624371529,299.063903809,-256.167510986,122.392402649,
244,253.053390503,-148.046569824,11.608813286,299.001678467,-256.103881836,122.461395264,
245,253.068084717,-148.114822388,11.599520683,298.954895020,-256.036499023,122.537750244,
246,253.112701416,-148.187713623,11.586403847,298.888793945,-255.967285156,122.617965698,
247,253.152664185,-148.255218506,11.575318336,298.830535889,-255.901824951,122.697036743,
248,253.220535278,-148.315200806,11.575016022,298.773254395,-255.841308594,122.771476746,
249,253.302932739,-148.362716675,11.577447891,298.708740234,-255.782882690,122.852416992,
250,253.383361816,-148.398162842,11.591371536,298.643341064,-255.728790283,122.930465698,
251,253.493942261,-148.420989990,11.601178169,298.579193115,-255.683197021,123.009971619,
252,253.598724365,-148.439590454,11.613542557,298.524688721,-255.647781372,123.088531494,
253,253.705627441,-148.463333130,11.610195160,298.451293945,-255.621231079,123.167282104,
254,253.871658325,-148.497451782,11.593745232,298.375396729,-255.605651855,123.235153198,
255,254.011123657,-148.543807983,11.566852570,298.305114746,-255.596450806,123.297874451,
256,254.166458130,-148.600875854,11.530946732,298.225616455,-255.595230103,123.357177734,
257,254.331726074,-148.667343140,11.481056213,298.147247314,-255.603332520,123.403724670,
258,254.500930786,-148.741958618,11.425184250,298.071044922,-255.621292114,123.440078735,
259,254.651016235,-148.816574097,11.380772591,297.989990234,-255.645431519,123.473426819,
260,254.778945923,-148.881134033,11.368583679,297.923492432,-255.677352905,123.498680115,
261,254.894149780,-148.942123413,11.361933708,297.845886230,-255.714492798,123.519630432,
262,254.993774414,-149.007110596,11.357203484,297.765350342,-255.759750366,123.538352966,
263,255.103973389,-149.079879761,11.348673820,297.714782715,-255.809585571,123.554733276,
264,255.179946899,-149.162918091,11.351056099,297.653747559,-255.860473633,123.570404053,
265,255.265594482,-149.250518799,11.346528053,297.608245850,-255.909393311,123.586334229,
266,255.330749512,-149.346771240,11.347773552,297.549926758,-255.956405640,123.608207703,
267,255.377044678,-149.444152832,11.350202560,297.495178223,-256.000366211,123.632675171,
268,255.440109253,-149.546051025,11.350263596,297.459106445,-256.044677734,123.662979126,
269,255.483016968,-149.652145386,11.356369972,297.403350830,-256.085205078,123.697860718,
270,255.497161865,-149.758209229,11.360839844,297.380004883,-256.121520996,123.733161926,
271,255.513153076,-149.860992432,11.368628502,297.348510742,-256.157226563,123.772674561,
272,255.500350952,-149.965454102,11.383025169,297.302337646,-256.196441650,123.813903809,
273,255.514389038,-150.068496704,11.388818741,297.260986328,-256.231903076,123.853584290,
274,255.503707886,-150.158935547,11.396270752,297.221679688,-256.260864258,123.891479492,
275,255.497390747,-150.240173340,11.402149200,297.171661377,-256.281677246,123.923385620,
276,255.490768433,-150.302246094,11.409905434,297.126159668,-256.300476074,123.952949524,
277,255.484222412,-150.342849731,11.416487694,297.074157715,-256.317474365,123.975944519,
278,255.495285034,-150.370315552,11.415212631,297.014007568,-256.333160400,123.994209290,
279,255.489166260,-150.387649536,11.420885086,296.953704834,-256.350799561,124.005485535,
280,255.504669189,-150.397171021,11.423473358,296.889587402,-256.366363525,124.016105652,
281,255.508651733,-150.397598267,11.423030853,296.832977295,-256.379119873,124.028030396,
282,255.499725342,-150.400177002,11.423813820,296.779724121,-256.389801025,124.033119202,
283,255.511840820,-150.400192261,11.424985886,296.729125977,-256.393615723,124.035980225,
284,255.528594971,-150.395950317,11.424343109,296.663726807,-256.392486572,124.048278809,
285,255.538681030,-150.386917114,11.429877281,296.620178223,-256.390991211,124.059379578,
286,255.547332764,-150.376907349,11.425923347,296.561706543,-256.382263184,124.069854736,
287,255.544860840,-150.366210938,11.424506187,296.516357422,-256.370605469,124.079231262,
288,255.554626465,-150.356857300,11.421532631,296.469757080,-256.357421875,124.089698792,
289,255.544647217,-150.342788696,11.421857834,296.421112061,-256.336242676,124.101615906,
290,255.546478271,-150.329986572,11.413234711,296.372192383,-256.313812256,124.111412048,
291,255.546768188,-150.318557739,11.413222313,296.350006104,-256.290924072,124.123840332,
292,255.536483765,-150.305511475,11.405036926,296.311096191,-256.263427734,124.135581970,
293,255.527008057,-150.292907715,11.399575233,296.284881592,-256.233673096,124.144111633,
294,255.528259277,-150.281860352,11.391213417,296.251647949,-256.203918457,124.152923584,
295,255.511947632,-150.267150879,11.379274368,296.227081299,-256.173309326,124.157890320,
296,255.487960815,-150.245498657,11.374934196,296.185363770,-256.143676758,124.160575867,
297,255.478134155,-150.215576172,11.364315033,296.171997070,-256.117187500,124.163871765,
298,255.443908691,-150.180480957,11.358821869,296.137115479,-256.092346191,124.162239075,
299,255.391281128,-150.140457153,11.350251198,296.097808838,-256.072174072,124.155754089,
300,255.367416382,-150.108383179,11.338176727,296.058746338,-256.049407959,124.146194458,
301,255.334350586,-150.077255249,11.325410843,296.027160645,-256.029083252,124.134704590,
302,255.315383911,-150.048019409,11.316107750,295.988891602,-256.014526367,124.119018555,
303,255.306594849,-150.015213013,11.304375648,295.943237305,-256.000946045,124.106788635,
304,255.291503906,-149.982879639,11.292435646,295.911895752,-255.988693237,124.092971802,
305,255.294006348,-149.954345703,11.285878181,295.893005371,-255.975616455,124.075454712,
306,255.274536133,-149.922195435,11.275629997,295.871093750,-255.966186523,124.063636780,
307,255.284805298,-149.902359009,11.262063026,295.829895020,-255.953674316,124.055267334,
308,255.295669556,-149.878768921,11.250044823,295.816192627,-255.939178467,124.047950745,
309,255.286254883,-149.858840942,11.243284225,295.783386230,-255.921722412,124.044876099,
310,255.288345337,-149.835250854,11.237869263,295.771728516,-255.904861450,124.045845032,
311,255.298599243,-149.814895630,11.227622032,295.757598877,-255.888504028,124.049110413,
312,255.298858643,-149.793807983,11.217378616,295.735168457,-255.869689941,124.056793213,
313,255.314041138,-149.770706177,11.208399773,295.720367432,-255.851287842,124.060813904,
314,255.320816040,-149.752426147,11.196221352,295.709808350,-255.833892822,124.069313049,
315,255.329269409,-149.740493774,11.186259270,295.702026367,-255.821716309,124.082611084,
316,255.341491699,-149.729675293,11.179796219,295.716369629,-255.810775757,124.091857910,
317,255.352737427,-149.718902588,11.173041344,295.723815918,-255.803054810,124.106559753,
318,255.352569580,-149.711776733,11.170558929,295.711425781,-255.792617798,124.123519897,
319,255.365463257,-149.707611084,11.164211273,295.694091797,-255.784667969,124.140525818,
320,255.364212036,-149.705871582,11.160835266,295.704345703,-255.780715942,124.159812927,
321,255.378738403,-149.705215454,11.154902458,295.711639404,-255.775024414,124.179595947,
322,255.380462646,-149.705184937,11.150690079,295.696899414,-255.770828247,124.196739197,
323,255.375976563,-149.706039429,11.150080681,295.694244385,-255.772994995,124.219459534,
324,255.390411377,-149.706039429,11.150389671,295.700531006,-255.777542114,124.241470337,
325,255.385986328,-149.710983276,11.146748543,295.699493408,-255.779495239,124.264175415,
326,255.396560669,-149.711563110,11.148088455,295.701843262,-255.787338257,124.287071228,
327,255.410858154,-149.716674805,11.150917053,295.710815430,-255.797134399,124.304954529,
328,255.415542603,-149.718994141,11.152505875,295.708953857,-255.812698364,124.323593140,
329,255.448287964,-149.723709106,11.155300140,295.700836182,-255.832946777,124.341346741,
330,255.456832886,-149.725906372,11.160882950,295.695495605,-255.855651855,124.354446411,
331,255.457946777,-149.732635498,11.168488503,295.689605713,-255.880523682,124.365455627,
332,255.481307983,-149.740554810,11.173020363,295.691528320,-255.911941528,124.376556396,
333,255.487655640,-149.749328613,11.180142403,295.701416016,-255.944717407,124.386207581,
