,time,x
793,3.172,-92.20716858
794,3.176,-92.65518188499999
795,3.18,-93.05238342299998
796,3.184,-93.54971313499999
797,3.188,-93.933120728
798,3.192,-94.04470825199999
799,3.196,-93.958312989
800,3.2,-93.68191528399998
801,3.204,-93.155609131
802,3.208,-92.454483033
803,3.212,-91.625091553
804,3.216,-90.65957641699998
805,3.22,-89.55889892599998
806,3.224,-88.35188293499999
807,3.228,-87.09014892599998
808,3.232,-85.791275025
809,3.236,-84.39378356999998
810,3.24,-82.90890503
811,3.244,-81.27752685600001
812,3.248,-79.49534606999998
813,3.252,-77.558151246
814,3.256,-75.418869019
815,3.26,-73.102844239
816,3.264,-70.73132324299999
817,3.268,-68.370285035
818,3.272,-65.80389404299999
819,3.276,-62.92842102099999
820,3.28,-59.775299072999985
821,3.284,-56.436889648999994
822,3.288,-52.8802948
823,3.292,-49.201065064000005
824,3.296,-45.349136353000006
825,3.3,-41.336364747000005
826,3.304,-37.21218872099999
827,3.308,-32.96682739299999
828,3.312,-28.604110717999987
829,3.316,-24.188171386999983
830,3.32,-19.640884400000004
831,3.324,-15.051239013999975
832,3.328,-10.437438965000013
833,3.332,-5.806549072999985
834,3.336,-1.2087402349999934
835,3.34,3.399749755000016
836,3.344,7.916137695000032
837,3.348,12.384521484000004
838,3.352,16.783905028999982
839,3.356,21.254364012999986
840,3.36,25.752532958000018
841,3.364,29.952331542000024
842,3.368,33.89166259699999
843,3.372,37.59475708000002
844,3.376,41.131011962
845,3.38,44.5362854
846,3.384,47.71932983300002
847,3.388,50.93002319300001
848,3.392,53.94696044900002
849,3.396,56.75146484300001
850,3.4,59.44332885699998
851,3.404,61.860015868999994
852,3.408,64.07897949200003
853,3.412,65.99948120099998
854,3.416,67.71749877899998
855,3.42,69.18234252899998
856,3.424,70.44430541899999
857,3.428,71.54437255800002
858,3.432,72.48617553700001
859,3.436,73.136627197
860,3.44,73.60379028300002
861,3.444,73.702056884
862,3.448,73.76483154200002
863,3.452,73.86730957000003
864,3.456,73.92843627899998
865,3.46,73.97058105399998
866,3.464,74.019195556
867,3.468,74.01205444300001
868,3.472,73.954010009
869,3.476,73.885009765
870,3.48,73.66848754800003
871,3.484,73.29220580999998
872,3.488,72.69406127899998
873,3.492,71.80502319300001
874,3.496,70.665435791
875,3.5,69.33834838799999
876,3.504,67.858062744
877,3.508,66.23107910099998
878,3.512,64.47689819300001
879,3.516,62.63488769500003
880,3.52,60.65698242100001
881,3.524,58.51705932599998
882,3.528,56.21359252899998
883,3.532,53.70455932599998
884,3.536,51.14285278300002
